datetime, drawdown, maxdrawdown
2020-02-26,0.00,0.00
2020-02-27,0.00,0.00
2020-02-28,0.00,0.00
2020-03-02,0.00,0.00
2020-03-03,0.18,0.18
2020-03-04,0.00,0.18
2020-03-05,0.00,0.18
2020-03-06,0.00,0.18
2020-03-09,0.00,0.18
2020-03-10,0.00,0.18
2020-03-11,0.00,0.18
2020-03-12,0.00,0.18
2020-03-13,0.00,0.18
2020-03-16,0.00,0.18
2020-03-17,0.00,0.18
2020-03-18,0.00,0.18
2020-03-19,0.15,0.18
2020-03-20,0.51,0.51
2020-03-23,0.63,0.63
2020-03-24,0.24,0.63
2020-03-25,0.40,0.63
2020-03-26,0.04,0.63
2020-03-27,0.00,0.63
2020-03-30,0.15,0.63
2020-03-31,0.01,0.63
2020-04-01,0.01,0.63
2020-04-02,0.01,0.63
2020-04-03,0.01,0.63
2020-04-07,0.01,0.63
2020-04-08,0.01,0.63
2020-04-09,0.01,0.63
2020-04-10,0.01,0.63
2020-04-13,0.01,0.63
2020-04-14,0.01,0.63
2020-04-15,0.01,0.63
2020-04-16,0.01,0.63
2020-04-17,0.01,0.63
2020-04-20,0.01,0.63
2020-04-21,0.01,0.63
2020-04-22,0.01,0.63
2020-04-23,0.01,0.63
2020-04-24,0.01,0.63
2020-04-27,0.01,0.63
2020-04-28,0.01,0.63
2020-04-29,0.01,0.63
2020-04-30,0.01,0.63
2020-05-06,0.01,0.63
2020-05-07,0.01,0.63
2020-05-08,0.01,0.63
2020-05-11,0.01,0.63
2020-05-12,0.01,0.63
2020-05-13,0.01,0.63
2020-05-14,0.01,0.63
2020-05-15,0.01,0.63
2020-05-18,0.01,0.63
2020-05-19,0.01,0.63
2020-05-20,0.01,0.63
2020-05-21,0.01,0.63
2020-05-22,0.01,0.63
2020-05-25,0.01,0.63
2020-05-26,0.01,0.63
2020-05-27,0.01,0.63
2020-05-28,0.01,0.63
2020-05-29,0.01,0.63
2020-06-01,0.01,0.63
2020-06-02,0.01,0.63
2020-06-03,0.01,0.63
2020-06-04,0.01,0.63
2020-06-05,0.01,0.63
2020-06-08,0.01,0.63
2020-06-09,0.01,0.63
2020-06-10,0.01,0.63
2020-06-11,0.01,0.63
2020-06-12,0.01,0.63
2020-06-15,0.01,0.63
2020-06-16,0.01,0.63
2020-06-17,0.01,0.63
2020-06-18,0.02,0.63
2020-06-19,0.01,0.63
2020-06-22,0.00,0.63
2020-06-23,0.00,0.63
2020-06-24,0.01,0.63
2020-06-29,0.12,0.63
2020-06-30,0.12,0.63
2020-07-01,0.12,0.63
2020-07-02,0.12,0.63
2020-07-03,0.12,0.63
2020-07-06,0.12,0.63
2020-07-07,0.12,0.63
2020-07-08,0.12,0.63
2020-07-09,0.12,0.63
2020-07-10,0.12,0.63
2020-07-13,0.12,0.63
2020-07-14,0.12,0.63
2020-07-15,0.12,0.63
2020-07-16,0.12,0.63
2020-07-17,0.12,0.63
2020-07-20,0.12,0.63
2020-07-21,0.12,0.63
2020-07-22,0.12,0.63
2020-07-23,0.00,0.63
2020-07-24,0.00,0.63
2020-07-27,0.02,0.63
2020-07-28,0.81,0.81
2020-07-29,0.54,0.81
2020-07-30,0.08,0.81
2020-07-31,0.06,0.81
2020-08-03,0.00,0.81
2020-08-04,0.02,0.81
2020-08-05,0.02,0.81
2020-08-06,0.02,0.81
2020-08-07,0.02,0.81
2020-08-10,0.02,0.81
2020-08-11,0.02,0.81
2020-08-12,0.04,0.81
2020-08-13,0.00,0.81
2020-08-14,0.15,0.81
2020-08-17,0.07,0.81
2020-08-18,0.00,0.81
2020-08-19,0.00,0.81
2020-08-20,0.01,0.81
2020-08-21,0.01,0.81
2020-08-24,0.01,0.81
2020-08-25,0.01,0.81
2020-08-26,0.01,0.81
2020-08-27,0.01,0.81
2020-08-28,0.01,0.81
2020-08-31,0.01,0.81
2020-09-01,0.01,0.81
2020-09-02,0.01,0.81
2020-09-03,0.01,0.81
2020-09-04,0.01,0.81
2020-09-07,0.01,0.81
2020-09-08,0.01,0.81
2020-09-09,0.01,0.81
2020-09-10,0.01,0.81
2020-09-11,0.21,0.81
2020-09-14,0.03,0.81
2020-09-15,0.00,0.81
2020-09-16,0.00,0.81
2020-09-17,0.06,0.81
2020-09-18,0.40,0.81
2020-09-21,0.72,0.81
2020-09-22,0.72,0.81
2020-09-23,0.72,0.81
2020-09-24,0.65,0.81
2020-09-25,0.80,0.81
2020-09-28,1.00,1.00
2020-09-29,0.95,1.00
2020-09-30,0.70,1.00
2020-10-09,0.78,1.00
2020-10-12,0.62,1.00
2020-10-13,0.36,1.00
2020-10-14,0.36,1.00
2020-10-15,0.36,1.00
2020-10-16,0.36,1.00
2020-10-19,0.36,1.00
2020-10-20,0.36,1.00
2020-10-21,0.36,1.00
2020-10-22,0.36,1.00
2020-10-23,0.36,1.00
2020-10-26,0.36,1.00
2020-10-27,0.69,1.00
2020-10-28,1.39,1.39
2020-10-29,1.56,1.56
2020-10-30,1.18,1.56
2020-11-02,1.07,1.56
2020-11-03,1.13,1.56
2020-11-04,1.09,1.56
2020-11-05,0.88,1.56
2020-11-06,0.84,1.56
2020-11-09,0.75,1.56
2020-11-10,0.75,1.56
2020-11-11,0.75,1.56
2020-11-12,0.75,1.56
2020-11-13,0.75,1.56
2020-11-16,0.75,1.56
2020-11-17,0.75,1.56
2020-11-18,0.75,1.56
2020-11-19,0.75,1.56
2020-11-20,0.75,1.56
2020-11-23,0.49,1.56
2020-11-24,0.49,1.56
2020-11-25,0.00,1.56
2020-11-26,0.26,1.56
2020-11-27,0.36,1.56
2020-11-30,0.36,1.56
2020-12-01,0.36,1.56
2020-12-02,0.36,1.56
2020-12-03,0.36,1.56
2020-12-04,0.52,1.56
2020-12-07,0.42,1.56
2020-12-08,0.00,1.56
2020-12-09,0.00,1.56
2020-12-10,0.06,1.56
2020-12-11,0.06,1.56
2020-12-14,0.06,1.56
2020-12-15,0.06,1.56
2020-12-16,0.06,1.56
2020-12-17,0.06,1.56
2020-12-18,0.06,1.56
2020-12-21,0.06,1.56
2020-12-22,0.06,1.56
2020-12-23,0.06,1.56
2020-12-24,0.06,1.56
2020-12-25,0.06,1.56
2020-12-28,0.06,1.56
2020-12-29,0.06,1.56
2020-12-30,0.06,1.56
2020-12-31,0.06,1.56
2021-01-04,0.00,1.56
2021-01-05,0.02,1.56
2021-01-06,0.02,1.56
2021-01-07,0.02,1.56
2021-01-08,0.02,1.56
2021-01-11,0.02,1.56
2021-01-12,0.02,1.56
2021-01-13,0.02,1.56
2021-01-14,0.02,1.56
2021-01-15,0.02,1.56
2021-01-18,0.02,1.56
2021-01-19,0.02,1.56
2021-01-20,0.02,1.56
2021-01-21,0.02,1.56
